================================================================================
K线序列模式统计（从首次涨停到信号日）
共 324 笔有效交易，224 种不同模式
================================================================================

K线序列                                               样本数      胜率       平均收益       盈亏比      期望值       
-------------------------------------------------- -------- -------- ---------- -------- ----------
大阳线-一字板-长下影十字星                                     18         61.1%     +4.27%    1.76     +4.27%
大阳线-一字板-一字板-长下影十字星                                 10         60.0%     +5.54%    2.56     +5.54%
大阳线-大阳线-大阳线                                        10         20.0%     -5.17%    0.27     -5.17%
一字板-一字板-长下影十字星                                     8          62.5%     -1.20%    0.44     -1.20%
中阳线-一字板-长下影十字星                                     5          60.0%     +8.41%    1.95     +8.41%
大阳线-一字板-大阳线                                        5          20.0%     -4.90%    1.02     -4.90%
大阳线-一字板-长下影阳线                                      5          20.0%     -5.08%    0.27     -5.08%
一字板-一字板-一字板-长下影十字星                                 3          66.7%    +13.09%    2.21    +13.09%
大阳线-长下影十字星-长下影十字星                                  3          66.7%     +8.42%    2.24     +8.42%
中阳线-一字板-长下影阴线                                      3          66.7%     +1.98%    0.84     +1.98%
大阳线-一字板-长下影十字星-大阳线                                 3          66.7%     +1.93%    8.63     +1.93%
大阳线-长下影阳线-长下影阳线                                    3          66.7%     +1.31%    0.78     +1.31%
大阳线-中阳线-长下影十字星                                     3          33.3%     -0.34%    1.84     -0.34%
一字板-一字板-一字板-一字板                                    3          33.3%     -1.71%    1.11     -1.71%
长下影十字星-一字板-长下影十字星                                  3          33.3%     -2.56%    0.95     -2.56%
大阳线-一字板-一字板-长下影阳线                                  3          33.3%     -4.29%    0.40     -4.29%
小阳线-一字板-长下影十字星                                     3           0.0%     -6.45%    0.00     -6.45%
大阳线-中阳线-大阳线                                        3           0.0%     -7.82%    0.00     -7.82%
一字板-一字板-小阳线                                        3           0.0%     -8.15%    0.00     -8.15%
大阳线-小阳线-长下影十字星                                     2          50.0%    +26.73%    4.50    +26.73%
大阳线-大阳线-长下影十字星                                     2         100.0%    +19.93%    0.00    +19.93%
大阳线-一字板-一字板-长下影十字星-大阳线                             2         100.0%    +10.98%    0.00    +10.98%
一字板-一字板-长下影十字星-大阳线                                 2          50.0%     +8.25%    3.10     +8.25%
中阳线-长下影阳线-中阳线                                      2         100.0%     +7.97%    0.00     +7.97%
大阳线-一字板-长下影十字星-长下影阳线                               2         100.0%     +7.60%    0.00     +7.60%
大阳线-长下影阳线-中阳线                                      2          50.0%     +4.19%    2.62     +4.19%
大阳线-长下影十字星-大阳线                                     2          50.0%     +2.84%    1.47     +2.84%
中阳线-中阳线-长下影十字星                                     2          50.0%     +0.00%    1.00     +0.00%
大阳线-中阳线-长下影阴线                                      2          50.0%     -0.68%    0.70     -0.68%
大阳线-一字板-小阳线                                        2          50.0%     -1.85%    0.73     -1.85%
大阳线-长下影十字星-一字板                                     2          50.0%     -4.72%    0.44     -4.72%
大阳线-一字板-一字板-大阳线                                    2          50.0%     -5.08%    0.47     -5.08%
中阳线-大阳线-大阳线                                        2           0.0%     -6.00%    0.00     -6.00%
一字板-一字板-一字板-一字板-长下影十字星                             2          50.0%     -6.53%    0.03     -6.53%
一字板-一字板-一字板-一字板-一字板                                2          50.0%     -7.18%    0.22     -7.18%
大阳线-一字板-大阳线-长下影十字星                                 2           0.0%     -7.95%    0.00     -7.95%
大阳线-小阳线-大阳线                                        2           0.0%    -11.97%    0.00    -11.97%
大阳线-中阳线-一字板-长下影十字星                                 2           0.0%    -14.29%    0.00    -14.29%
中阳线-一字板-长下影阳线                                      2           0.0%    -15.24%    0.00    -15.24%
一字板-一字板-中阳线                                        2           0.0%    -16.27%    0.00    -16.27%
一字板-一字板-一字板-一字板-中阳线                                2           0.0%    -17.80%    0.00    -17.80%
中阳线-长下影阳线-小阳线                                      1         100.0%    +67.22%    0.00    +67.22%
大阳线-大阳线-一字板-长下影十字星-长下影阳线-长下影阳线                     1         100.0%    +54.67%    0.00    +54.67%
大阳线-小阳线-长下影十字星-长下影阳线                               1         100.0%    +53.44%    0.00    +53.44%
一字板-一字板-一字板-长下影阳线                                  1         100.0%    +44.37%    0.00    +44.37%
大阳线-大阳线-小阳线                                        1         100.0%    +42.12%    0.00    +42.12%
长下影十字星-大阳线-中阳线                                     1         100.0%    +37.04%    0.00    +37.04%
长下影阳线-小阳线-大阳线                                      1         100.0%    +35.33%    0.00    +35.33%
中阳线-长下影阳线-小阳线-大阳线                                  1         100.0%    +33.11%    0.00    +33.11%
中阳线-一字板-大阳线                                        1         100.0%    +30.71%    0.00    +30.71%
大阳线-长下影十字星-一字板-一字板-一字板-一字板-大阳线                     1         100.0%    +29.08%    0.00    +29.08%
长下影阳线-小阳线-大阳线-长下影阳线                                1         100.0%    +28.56%    0.00    +28.56%
小阳线-长下影阳线-中阳线                                      1         100.0%    +28.56%    0.00    +28.56%
一字板-一字板-一字板                                        1         100.0%    +28.17%    0.00    +28.17%
小阳线-一字板-中阳线                                        1         100.0%    +26.36%    0.00    +26.36%
大阳线-中阳线-长下影阳线                                      1         100.0%    +25.44%    0.00    +25.44%
中阳线-长下影十字星-长下影阳线                                   1         100.0%    +23.60%    0.00    +23.60%
大阳线-大阳线-长下影十字星-长下影阳线                               1         100.0%    +20.04%    0.00    +20.04%
大阳线-中阳线-一字板-大阳线                                    1         100.0%    +19.90%    0.00    +19.90%
小阳线-一字板-中阳线-中阳线                                    1         100.0%    +19.83%    0.00    +19.83%
中阳线-一字板-长下影十字星-中阳线                                 1         100.0%    +19.76%    0.00    +19.76%
长下影阳线-大阳线-长下影阳线                                    1         100.0%    +18.84%    0.00    +18.84%
中阳线-中阳线-长下影十字星-一字板-长下影十字星-大阳线                      1         100.0%    +18.31%    0.00    +18.31%
大阳线-一字板-一字板-一字板-中阳线                                1         100.0%    +16.70%    0.00    +16.70%
大阳线-中阳线-小阳线                                        1         100.0%    +16.23%    0.00    +16.23%
大阳线-大阳线-一字板                                        1         100.0%    +16.03%    0.00    +16.03%
一字板-一字板-一字板-长下影十字星-大阳线                             1         100.0%    +15.87%    0.00    +15.87%
小阳线-一字板-一字板-长下影十字星                                 1         100.0%    +15.18%    0.00    +15.18%
中阳线-长下影十字星-一字板-一字板-长下影十字星-长下影十字星                   1         100.0%    +12.25%    0.00    +12.25%
大阳线-一字板-一字板-大阳线-长下影十字星                             1         100.0%    +11.21%    0.00    +11.21%
大阳线-中阳线-一字板-大阳线-大阳线                                1         100.0%    +10.81%    0.00    +10.81%
大阳线-小阳线-一字板-长下影阳线                                  1         100.0%    +10.35%    0.00    +10.35%
一字板-一字板-一字板-一字板-一字板-一字板-一字板                        1         100.0%    +10.30%    0.00    +10.30%
大阳线-大阳线-长上影阳线                                      1         100.0%     +9.58%    0.00     +9.58%
大阳线-大阳线-一字板-长下影十字星                                 1         100.0%     +9.50%    0.00     +9.50%
大阳线-一字板-一字板                                        1         100.0%     +8.92%    0.00     +8.92%
长下影阳线-大阳线-大阳线                                      1         100.0%     +8.89%    0.00     +8.89%
大阳线-长下影阳线-一字板-长下影阳线                                1         100.0%     +8.69%    0.00     +8.69%
长下影阳线-一字板-长下影阳线                                    1         100.0%     +8.51%    0.00     +8.51%
大阳线-长下影十字星-一字板-长上影阳线                               1         100.0%     +8.20%    0.00     +8.20%
大阳线-长下影阳线-中阳线-大阳线                                  1         100.0%     +8.04%    0.00     +8.04%
中阳线-中阳线-一字板-中阳线-一字板-长下影阴线                          1         100.0%     +7.80%    0.00     +7.80%
中阳线-一字板-长下影十字星-大阳线                                 1         100.0%     +7.49%    0.00     +7.49%
小阳线-小阳线-一字板-长下影阴线                                  1         100.0%     +6.69%    0.00     +6.69%
大阳线-中阳线-一字板-一字板-小阳线                                1         100.0%     +6.66%    0.00     +6.66%
一字板-一字板-一字板-一字板-长下影十字星-长下影阳线                       1         100.0%     +6.19%    0.00     +6.19%
小阳线-一字板-中阳线-中阳线-大阳线                                1         100.0%     +6.11%    0.00     +6.11%
一字板-一字板-长下影十字星-小阳线                                 1         100.0%     +5.90%    0.00     +5.90%
一字板-一字板-一字板-一字板-一字板-大阳线                            1         100.0%     +5.82%    0.00     +5.82%
大阳线-一字板-长下影阳线-长上影阳线                                1         100.0%     +5.48%    0.00     +5.48%
大阳线-大阳线-中阴线                                        1         100.0%     +5.41%    0.00     +5.41%
大阳线-小阳线-长下影阴线                                      1         100.0%     +5.26%    0.00     +5.26%
一字板-中阳线-长下影阳线                                      1         100.0%     +5.25%    0.00     +5.25%
大阳线-长下影阳线-一字板-长下影阳线-大阳线                            1         100.0%     +5.08%    0.00     +5.08%
一字板-一字板-一字板-一字板-一字板-一字板-长下影阳线                      1         100.0%     +4.57%    0.00     +4.57%
大阳线-大阳线-长下影十字星-长下影阳线-大阳线                           1         100.0%     +4.55%    0.00     +4.55%
中阳线-中阳线-小阳线-大阳线                                    1         100.0%     +4.46%    0.00     +4.46%
大阳线-一字板-长下影十字星-长下影十字星-长下影阳线                        1         100.0%     +4.36%    0.00     +4.36%
大阳线-一字板-长上下影十字星                                    1         100.0%     +4.22%    0.00     +4.22%
大阳线-一字板-一字板-一字板-长下影阳线-大阳线                          1         100.0%     +2.94%    0.00     +2.94%
一字板-一字板-一字板-长下影十字星-大阳线-大阳线                         1         100.0%     +2.48%    0.00     +2.48%
大阳线-长下影十字星-长上影阳线                                   1         100.0%     +2.35%    0.00     +2.35%
一字板-一字板-长下影阳线                                      1         100.0%     +2.17%    0.00     +2.17%
长下影十字星-大阳线-长上影阳线                                   1         100.0%     +2.14%    0.00     +2.14%
中阳线-一字板-长下影十字星-中阳线-一字板-长下影阳线-一字板-小阳线               1         100.0%     +1.73%    0.00     +1.73%
一字板-一字板-长下影十字星-长下影十字星-长下影十字星                       1         100.0%     +1.63%    0.00     +1.63%
大阳线-一字板-长下影十字星-一字板-中阳线                             1         100.0%     +1.52%    0.00     +1.52%
大阳线-长下影十字星-长上下影十字星                                 1         100.0%     +1.42%    0.00     +1.42%
大阳线-长下影十字星                                         1         100.0%     +1.41%    0.00     +1.41%
小阳线-长下影十字星-小阳线-长下影十字星                              1         100.0%     +0.87%    0.00     +0.87%
大阳线-一字板-长下影十字星-一字板-长下影十字星-中阳线                      1         100.0%     +0.65%    0.00     +0.65%
一字板-一字板-长下影十字星-大阳线-大阳线-长上影阳线                       1         100.0%     +0.61%    0.00     +0.61%
长下影十字星-长下影十字星                                      1         100.0%     +0.41%    0.00     +0.41%
大阳线-大阳线-一字板-长下影十字星-长下影阳线                           1         100.0%     +0.34%    0.00     +0.34%
大阳线-长下影十字星-中阳线                                     1         100.0%     +0.34%    0.00     +0.34%
中阳线-中阳线-长下影十字星-一字板-长下影十字星                          1         100.0%     +0.33%    0.00     +0.33%
长下影十字星-一字板-长下影十字星-长下影阳线                            1         100.0%     +0.30%    0.00     +0.30%
一字板-一字板-一字板-一字板-一字板-一字板                            1           0.0%     -0.13%    0.00     -0.13%
长下影阳线-一字板-长下影阳线-长下影十字星                             1           0.0%     -0.37%    0.00     -0.37%
大阳线-一字板-长下影阴线                                      1           0.0%     -0.45%    0.00     -0.45%
大阳线-一字板-一字板-一字板-一字板-一字板                            1           0.0%     -0.49%    0.00     -0.49%
一字板-长下影十字星-长下影阴线                                   1           0.0%     -0.58%    0.00     -0.58%
中阳线-中阳线-中阳线                                        1           0.0%     -0.84%    0.00     -0.84%
小阳线-长下影阳线-长下影十字星                                   1           0.0%     -0.87%    0.00     -0.87%
长下影十字星-大阳线-大阳线                                     1           0.0%     -0.96%    0.00     -0.96%
中阳线-大阳线-一字板-长下影阳线                                  1           0.0%     -0.98%    0.00     -0.98%
一字板-小阴线                                            1           0.0%     -1.08%    0.00     -1.08%
小阳线-长下影十字星-长下影十字星                                  1           0.0%     -1.08%    0.00     -1.08%
大阳线-长下影十字星-长下影十字星-长下影阳线-一字板-长下影阳线                  1           0.0%     -1.21%    0.00     -1.21%
长下影十字星-中阳线-长下影阳线                                   1           0.0%     -1.39%    0.00     -1.39%
一字板-长下影十字星-大阳线                                     1           0.0%     -1.90%    0.00     -1.90%
大阳线-一字板-长下影十字星-一字板-一字板-长下影阳线                       1           0.0%     -1.95%    0.00     -1.95%
大阳线-一字板-一字板-一字板-大阳线                                1           0.0%     -2.00%    0.00     -2.00%
小阳线-长下影十字星-小阳线-长下影十字星-小阳线                          1           0.0%     -2.17%    0.00     -2.17%
一字板-大阳线-大阳线                                        1           0.0%     -2.41%    0.00     -2.41%
长下影十字星-一字板-一字板-一字板-长下影阳线                           1           0.0%     -2.44%    0.00     -2.44%
中阳线-一字板-长下影十字星-长下影十字星                              1           0.0%     -2.81%    0.00     -2.81%
小阳线-一字板-长下影阳线-长下影阳线                                1           0.0%     -2.85%    0.00     -2.85%
大阳线-一字板-长下影十字星-小阳线-大阳线                             1           0.0%     -3.04%    0.00     -3.04%
