股票代码,股票名称,涨停原因,信号次数,形态日期,量比,当日涨幅%,最高连板数
600266.SH,城建发展,商业航天+北京国资+房地产,1,20260106,2.07,10.04,3
001231.SZ,农心科技,农药制剂+西部大开发+三季报增长,1,20260106,4.69,9.99,3
002131.SZ,利欧股份,AI智能体+液冷服务器+机械制造+扭亏为盈,1,20260106,2.95,6.94,2
002757.SZ,南兴股份,AIGC+机器人+IDC+家具装备,2,"20260105, 20260106",6.7-7.7,10.0-10.0,3
002177.SZ,御银股份,数字货币+产业园+广州,1,20251231,3.6,10.06,3
688160.SH,步科股份,人形机器人+无框力矩电机+三季报增长+出海布局,1,20251231,2.55,4.46,2
001266.SZ,宏英智能,液冷储能+机器人+商业航天,1,20251231,3.58,10.0,3
002969.SZ,嘉美包装,控制权变更+三片罐龙头+客户旺旺+海峡两岸,3,"20251229, 20251230, 20251231",2.9-3.1,6.8-10.0,9
002009.SZ,天奇股份,拟定增+人形机器人+锂电循环+特斯拉,2,"20251229, 20251230",2.1-7.5,10.0-10.0,3
002347.SZ,泰尔股份,机器人+商业航天+冶金龙头,2,"20251229, 20251230",2.3-2.3,10.0-10.0,3
002652.SZ,扬子新材,中芯国际概念+半导体洁净室+有机涂层板,1,20251229,1.86,9.95,3
603278.SH,大业股份,商业航天+腱绳+胎圈钢丝+扭亏,2,"20251226, 20251231",2.6-3.1,10.0-10.0,3
600755.SH,厦门国贸,海峡两岸+供应链+高股息+国企改革,1,20251226,4.71,9.96,3
605007.SH,五洲特纸,涨价潮+格拉辛纸投产+海峡两岸+特种纸龙头,1,20251226,12.58,10.01,3
002363.SZ,隆基机械,商业航天+军工配套+制动部件+低空经济,1,20251226,5.89,9.99,3
002163.SZ,海南发展,海南自贸区+幕墙工程+BIPV+海南国资,2,"20251225, 20251229",2.6-3.6,6.9-7.8,4
002951.SZ,金时科技,蚂蚁数科合作+储能+超级电容+挂牌降价,1,20251225,2.71,10.01,3
000551.SZ,创元科技,半导体洁净室+商业航天+苏州国资,1,20251225,4.25,10.03,4
000036.SZ,华联控股,盐湖提锂+新能源转型+城市更新+房地产,1,20251225,3.28,5.34,3
600179.SH,安通控股,海南自贸区+海峡两岸+集装箱物流+中外运增持,3,"20251224, 20251225, 20251226",2.1-2.8,10.0-10.1,3
001331.SZ,胜通能源,控制权变更+七腾机器人+LNG+运贸一体,5,"20251223, 20251224, 20251225, 20251226, 20251229",2.5-8.4,10.0-10.0,8
002788.SZ,鹭燕医药,医药分销+中药饮片+海峡两岸,2,"20251223, 20251224",2.8-2.8,6.2-10.0,5
001336.SZ,楚环科技,航空航天相关投资+创投+半导体+废气治理,1,20251223,4.11,10.02,3
002361.SZ,神剑股份,商业航天+无人机+聚酯树脂+地方国企,3,"20251222, 20251223, 20251224",2.3-3.5,10.0-10.0,3
002910.SZ,庄园牧场,乳业+宠物经济+甘肃国资,2,"20251219, 20251222",2.4-3.5,10.0-10.0,3
002853.SZ,皮阿诺,实控人拟变更+定制家居+复牌,1,20251219,3.39,4.07,3
002188.SZ,中天服务,物业管理+环杭区域+科技赋能+多元业态,1,20251219,2.58,10.01,3
605365.SH,立达信,泰国基地+LED照明+两岸融合+跨境电商,1,20251219,2.17,7.48,2
603585.SH,苏利股份,百菌清涨价+农化制品+阻燃剂,1,20251219,4.24,10.02,3
002703.SZ,浙江世宝,L3自动驾驶+线控转向+智能转向+转向系统,3,"20251218, 20251219, 20251222",2.0-9.0,5.6-10.0,3
601366.SH,利群股份,零售板块+食品工业+智慧物流+即时零售,1,20251218,3.5,10.02,3
001255.SZ,博菲电气,东方电机合作+绝缘材料+风电轨交+专精特新,1,20251218,4.12,10.01,3
001317.SZ,三羊马,整车物流+一带一路+无人车+新疆振兴,1,20251217,3.27,10.0,3
001208.SZ,华菱线缆,商业航天+机器人+特种线缆+湖南国资,1,20251217,2.43,5.21,4
002471.SZ,中超控股,燃气轮机订单+商业航天+高温合金+电线电缆,1,20251216,6.55,5.65,3
600865.SH,百大集团,百货零售+杭州百大置业+委托理财+恒隆合作,2,"20251215, 20251218",2.2-4.5,10.0-10.0,3
600936.SH,广西广电,拟更名为北投科技+智慧交通+机器人+广西国资,1,20251215,2.65,9.98,3
920576.BJ,天力复合,商业航天+可控核聚变+专精特新+山西国资,1,20251215,1.97,13.58,2
603601.SH,再升科技,商业航天+协议转让+玻璃微纤维+无尘空调,2,"20251212, 20251215",1.9-3.4,10.0-10.1,5
601933.SH,永辉超市,零售+胖东来调改+海峡两岸,1,20251211,5.15,6.12,3
