策略: BreakoutStrategy
扫描日期范围: 2025-09-10 到 2025-12-08
信号模式: ['*** 二次确认信号', '买入信号: 快速通道', '买入信号: 回踩确认', '买入信号: 止损纠错']
总计: 459 只股票
  - 找到信号: 339 只
  - 无信号: 113 只
  - 出错/数据不足: 7 只

============================================================
详细扫描结果:
============================================================


找到信号的股票 (339 只):
----------------------------------------
  000006 - 信号数: 1
  000061 - 信号数: 1
  000069 - 信号数: 1
  000070 - 信号数: 2
  000078 - 信号数: 1
  000510 - 信号数: 1
  000514 - 信号数: 2
  000530 - 信号数: 2
  000533 - 信号数: 2
  000536 - 信号数: 3
  000546 - 信号数: 1
  000547 - 信号数: 1
  000559 - 信号数: 1
  000566 - 信号数: 1
  000572 - 信号数: 1
  000592 - 信号数: 1
  000593 - 信号数: 1
  000599 - 信号数: 1
  000620 - 信号数: 1
  000631 - 信号数: 1
  000632 - 信号数: 2
  000633 - 信号数: 3
  000637 - 信号数: 1
  000657 - 信号数: 1
  000663 - 信号数: 1
  000688 - 信号数: 3
  000692 - 信号数: 1
  000753 - 信号数: 1
  000788 - 信号数: 2
  000797 - 信号数: 2
  000811 - 信号数: 2
  000819 - 信号数: 2
  000833 - 信号数: 2
  000838 - 信号数: 2
  000905 - 信号数: 1
  000952 - 信号数: 2
  000955 - 信号数: 3
  000962 - 信号数: 1
  000969 - 信号数: 1
  000973 - 信号数: 1
  000981 - 信号数: 1
  000993 - 信号数: 1
  001203 - 信号数: 1
  001209 - 信号数: 1
  001216 - 信号数: 1
  001225 - 信号数: 3
  001231 - 信号数: 2
  001266 - 信号数: 2
  001267 - 信号数: 2
  001277 - 信号数: 1
  001282 - 信号数: 1
  001296 - 信号数: 1
  001309 - 信号数: 1
  001360 - 信号数: 1
  001390 - 信号数: 2
  002040 - 信号数: 1
  002050 - 信号数: 1
  002054 - 信号数: 1
  002069 - 信号数: 1
  002083 - 信号数: 1
  002084 - 信号数: 3
  002136 - 信号数: 1
  002149 - 信号数: 1
  002153 - 信号数: 1
  002160 - 信号数: 1
  002171 - 信号数: 1
  002185 - 信号数: 1
  002187 - 信号数: 2
  002192 - 信号数: 2
  002196 - 信号数: 2
  002198 - 信号数: 1
  002208 - 信号数: 1
  002213 - 信号数: 1
  002235 - 信号数: 1
  002240 - 信号数: 1
  002242 - 信号数: 1
  002249 - 信号数: 1
  002255 - 信号数: 2
  002256 - 信号数: 2
  002264 - 信号数: 2
  002278 - 信号数: 1
  002279 - 信号数: 2
  002285 - 信号数: 1
  002291 - 信号数: 1
  002295 - 信号数: 1
  002300 - 信号数: 1
  002301 - 信号数: 3
  002307 - 信号数: 2
  002309 - 信号数: 1
  002317 - 信号数: 1
  002320 - 信号数: 1
  002326 - 信号数: 3
  002333 - 信号数: 1
  002337 - 信号数: 1
  002348 - 信号数: 2
  002353 - 信号数: 2
  002370 - 信号数: 2
  002374 - 信号数: 2
  002387 - 信号数: 2
  002398 - 信号数: 3
  002400 - 信号数: 4
  002407 - 信号数: 1
  002413 - 信号数: 3
  002418 - 信号数: 1
  002431 - 信号数: 1
  002474 - 信号数: 1
  002478 - 信号数: 1
  002490 - 信号数: 1
  002497 - 信号数: 1
  002542 - 信号数: 1
  002554 - 信号数: 2
  002560 - 信号数: 1
  002578 - 信号数: 1
  002585 - 信号数: 1
  002591 - 信号数: 2
  002593 - 信号数: 1
  002596 - 信号数: 2
  002611 - 信号数: 1
  002631 - 信号数: 3
  002632 - 信号数: 1
  002638 - 信号数: 2
  002639 - 信号数: 2
  002678 - 信号数: 1
  002679 - 信号数: 1
  002682 - 信号数: 1
  002686 - 信号数: 1
  002691 - 信号数: 1
  002702 - 信号数: 1
  002728 - 信号数: 1
  002752 - 信号数: 2
  002767 - 信号数: 3
  002780 - 信号数: 1
  002790 - 信号数: 1
  002792 - 信号数: 1
  002805 - 信号数: 1
  002825 - 信号数: 1
  002830 - 信号数: 3
  002836 - 信号数: 1
  002856 - 信号数: 1
  002864 - 信号数: 1
  002885 - 信号数: 1
  002888 - 信号数: 1
  002927 - 信号数: 2
  002941 - 信号数: 2
  002942 - 信号数: 3
