策略: ScannablePullbackReboundStrategy
扫描日期范围: 2025-09-10 到 2025-12-08
信号模式: ['*** 止跌反弹买入信号触发', '止跌反弹信号']
总计: 459 只股票
  - 找到信号: 185 只
  - 无信号: 267 只
  - 出错/数据不足: 7 只

============================================================
详细扫描结果:
============================================================


找到信号的股票 (185 只):
----------------------------------------
  000061 - 信号数: 1
  000063 - 信号数: 1
  000510 - 信号数: 1
  000533 - 信号数: 1
  000536 - 信号数: 1
  000546 - 信号数: 1
  000555 - 信号数: 1
  000566 - 信号数: 1
  000572 - 信号数: 1
  000592 - 信号数: 1
  000599 - 信号数: 1
  000619 - 信号数: 1
  000626 - 信号数: 1
  000753 - 信号数: 2
  000833 - 信号数: 1
  000838 - 信号数: 1
  000859 - 信号数: 1
  000892 - 信号数: 2
  000905 - 信号数: 1
  000955 - 信号数: 2
  000962 - 信号数: 1
  000969 - 信号数: 1
  000973 - 信号数: 1
  000981 - 信号数: 1
  000993 - 信号数: 1
  001203 - 信号数: 1
  001209 - 信号数: 1
  001216 - 信号数: 1
  001225 - 信号数: 1
  001231 - 信号数: 1
  002040 - 信号数: 1
  002082 - 信号数: 1
  002136 - 信号数: 1
  002150 - 信号数: 2
  002163 - 信号数: 1
  002181 - 信号数: 2
  002196 - 信号数: 1
  002198 - 信号数: 1
  002242 - 信号数: 1
  002255 - 信号数: 1
  002256 - 信号数: 2
  002278 - 信号数: 1
  002279 - 信号数: 1
  002291 - 信号数: 1
  002300 - 信号数: 1
  002309 - 信号数: 1
  002320 - 信号数: 1
  002326 - 信号数: 1
  002370 - 信号数: 1
  002374 - 信号数: 1
  002407 - 信号数: 2
  002418 - 信号数: 1
  002431 - 信号数: 1
  002451 - 信号数: 1
  002474 - 信号数: 1
  002478 - 信号数: 1
  002490 - 信号数: 1
  002596 - 信号数: 1
  002639 - 信号数: 1
  002678 - 信号数: 1
  002679 - 信号数: 1
  002691 - 信号数: 1
  002759 - 信号数: 1
  002790 - 信号数: 1
  002805 - 信号数: 1
  002836 - 信号数: 1
  002885 - 信号数: 2
  002927 - 信号数: 1
  002942 - 信号数: 1
  003018 - 信号数: 1
  003041 - 信号数: 2
