ts_code,trade_date,pre_close,open,high,low,close,change,pct_chg,vol,amount
159949.SZ,20241122,1.014,1.011,1.017,0.974,0.974,-0.04,-3.9448,16918013.48,1683083.198
159949.SZ,20241121,1.016,1.014,1.022,1.007,1.014,-0.002,-0.1969,11343554.84,1151031.025
159949.SZ,20241120,1.015,1.006,1.024,1.003,1.016,0.001,0.0985,16117302.86,1632481.471
159949.SZ,20241119,0.983,0.986,1.015,0.973,1.015,0.032,3.2553,28839875.7,2871333.588
159949.SZ,20241118,1.005,1.006,1.01,0.972,0.983,-0.022,-2.1891,25864252.34,2560002.867
159949.SZ,20241115,1.048,1.043,1.05,1.005,1.005,-0.043,-4.1031,23005637.91,2363075.961
159949.SZ,20241114,1.087,1.085,1.088,1.047,1.048,-0.039,-3.5879,19353345.0,2066032.374
159949.SZ,20241113,1.068,1.058,1.092,1.049,1.087,0.019,1.779,24745935.56,2652673.498
159949.SZ,20241112,1.066,1.075,1.096,1.054,1.068,0.002,0.1876,44654799.14,4816947.49
159949.SZ,20241111,1.037,1.022,1.067,1.02,1.066,0.029,2.7965,25489155.15,2675797.611
159949.SZ,20241108,1.053,1.076,1.079,1.032,1.037,-0.016,-1.5195,29316918.86,3098734.263
159949.SZ,20241107,1.011,1.0,1.054,0.998,1.053,0.042,4.1543,30264827.36,3111134.999
159949.SZ,20241106,1.028,1.028,1.062,1.002,1.011,-0.017,-1.6537,38158682.98,3939644.195
159949.SZ,20241105,0.976,0.977,1.033,0.969,1.028,0.052,5.3279,51186958.53,5192851.128
159949.SZ,20241104,0.948,0.948,0.978,0.946,0.976,0.028,2.9536,18700149.27,1809165.184
159949.SZ,20241101,0.965,0.957,0.968,0.946,0.948,-0.017,-1.7617,17371926.21,1662533.451
159949.SZ,20241031,0.958,0.957,0.986,0.949,0.965,0.007,0.7307,25046635.0,2428594.325
159949.SZ,20241030,0.969,0.96,0.971,0.947,0.958,-0.011,-1.1352,18889507.16,1811796.998
159949.SZ,20241029,0.994,0.997,0.999,0.969,0.969,-0.025,-2.5151,22617529.57,2217834.891
159949.SZ,20241028,1.001,1.001,1.001,0.981,0.994,-0.007,-0.6993,17481989.13,1731297.688
159949.SZ,20241025,0.969,0.978,1.021,0.972,1.001,0.032,3.3024,42047766.04,4203345.562
159949.SZ,20241024,0.983,0.976,0.983,0.966,0.969,-0.014,-1.4242,15847764.07,1541480.398
159949.SZ,20241023,0.991,0.985,1.006,0.975,0.983,-0.008,-0.8073,23657826.55,2339504.513
159949.SZ,20241022,0.987,0.983,0.996,0.973,0.991,0.004,0.4053,22112898.92,2181391.423
159949.SZ,20241021,0.984,0.987,1.015,0.975,0.987,0.003,0.3049,35249905.47,3499502.913
159949.SZ,20241018,0.904,0.901,1.045,0.901,0.984,0.08,8.8496,58468400.23,5623016.877
159949.SZ,20241017,0.906,0.916,0.927,0.904,0.904,-0.002,-0.2208,20817985.29,1907632.398
159949.SZ,20241016,0.93,0.904,0.928,0.901,0.906,-0.024,-2.5806,27891763.36,2542351.357
159949.SZ,20241015,0.963,0.954,0.972,0.93,0.93,-0.033,-3.4268,28880780.06,2745326.206
159949.SZ,20241014,0.936,0.945,0.968,0.919,0.963,0.027,2.8846,35590980.43,3367152.748
159949.SZ,20241011,0.989,0.97,0.979,0.92,0.936,-0.053,-5.3589,41061080.32,3889081.957
159949.SZ,20241010,1.023,1.02,1.045,0.969,0.989,-0.034,-3.3236,46027154.49,4624469.537
159949.SZ,20241009,1.211,1.11,1.146,1.021,1.023,-0.188,-15.5244,85922902.21,9243847.242
159949.SZ,20241008,1.009,1.211,1.211,1.05,1.211,0.202,20.0198,121314706.97,14187470.961
159949.SZ,20240930,0.841,0.899,1.009,0.871,1.009,0.168,19.9762,44802735.4,4223698.8
159949.SZ,20240927,0.754,0.769,0.852,0.769,0.841,0.087,11.5385,34053746.33,2758828.014
159949.SZ,20240926,0.722,0.719,0.755,0.714,0.754,0.032,4.4321,14419651.07,1058278.346
159949.SZ,20240925,0.711,0.726,0.74,0.721,0.722,0.011,1.5471,16374765.06,1193901.516
159949.SZ,20240924,0.67,0.676,0.711,0.671,0.711,0.041,6.1194,16959336.08,1175990.195
159949.SZ,20240923,0.672,0.672,0.677,0.669,0.67,-0.002,-0.2976,5358805.21,360575.074
159949.SZ,20240920,0.676,0.674,0.676,0.666,0.672,-0.004,-0.5917,6666194.0,446741.186
159949.SZ,20240919,0.671,0.673,0.684,0.664,0.676,0.005,0.7452,8414667.0,567573.748
159949.SZ,20240918,0.672,0.67,0.674,0.666,0.671,-0.001,-0.1488,4341346.0,290664.479
159949.SZ,20240913,0.677,0.678,0.68,0.671,0.672,-0.005,-0.7386,5280849.0,356125.98
159949.SZ,20240912,0.677,0.68,0.687,0.676,0.677,0.0,0.0,5424514.0,369674.945
159949.SZ,20240911,0.668,0.667,0.679,0.666,0.677,0.009,1.3473,7997761.36,539804.042
159949.SZ,20240910,0.669,0.669,0.673,0.661,0.668,-0.001,-0.1495,5812055.37,387264.715
159949.SZ,20240909,0.667,0.662,0.672,0.661,0.669,0.002,0.2999,5258486.31,350231.466
159949.SZ,20240906,0.677,0.678,0.679,0.666,0.667,-0.01,-1.4771,5134279.0,344552.343
159949.SZ,20240905,0.674,0.674,0.683,0.673,0.677,0.003,0.4451,5685587.0,385526.561
159949.SZ,20240904,0.673,0.668,0.68,0.666,0.674,0.001,0.1486,5501861.0,370346.08
159949.SZ,20240903,0.666,0.665,0.677,0.664,0.673,0.007,1.0511,6947340.01,466800.261
159949.SZ,20240902,0.685,0.683,0.686,0.665,0.666,-0.019,-2.7737,8657018.0,582785.545
159949.SZ,20240830,0.667,0.666,0.694,0.666,0.685,0.018,2.6987,11600888.89,793948.478
