datetime,open,high,low,close,volume
2023-01-03,1.027,1.031,1.01,1.029,4973713.63
2023-01-04,1.023,1.026,1.012,1.017,3722215.38
2023-01-05,1.022,1.055,1.02,1.053,8770797.6
2023-01-06,1.049,1.074,1.046,1.065,8800860.51
2023-01-09,1.07,1.083,1.067,1.071,5656438.74
2023-01-10,1.07,1.094,1.069,1.091,6712832.21
2023-01-11,1.095,1.096,1.075,1.08,7889424.86
2023-01-12,1.083,1.094,1.079,1.084,4029234.88
2023-01-13,1.091,1.096,1.084,1.096,5336613.75
2023-01-16,1.1,1.133,1.097,1.12,8641937.79
2023-01-17,1.125,1.128,1.118,1.123,4224944.28
2023-01-18,1.127,1.129,1.117,1.121,4879437.81
2023-01-19,1.12,1.136,1.116,1.136,6256905.03
2023-01-20,1.138,1.143,1.132,1.141,5461551.37
2023-01-30,1.178,1.179,1.152,1.152,7159391.61
2023-01-31,1.153,1.158,1.135,1.139,4911945.11
2023-02-01,1.145,1.155,1.134,1.155,6109505.95
2023-02-02,1.158,1.161,1.144,1.145,6832040.62
2023-02-03,1.141,1.147,1.12,1.132,6099822.0
2023-02-06,1.121,1.124,1.105,1.113,7328623.74
2023-02-07,1.117,1.121,1.104,1.111,6643737.32
2023-02-08,1.113,1.119,1.105,1.105,5470036.8
2023-02-09,1.105,1.127,1.103,1.126,8644405.24
2023-02-10,1.122,1.125,1.107,1.114,5833993.02
2023-02-13,1.113,1.128,1.109,1.123,6010506.02
2023-02-14,1.129,1.131,1.112,1.118,4713044.93
2023-02-15,1.119,1.125,1.106,1.107,5105701.0
2023-02-16,1.109,1.118,1.085,1.094,6083332.3
2023-02-17,1.092,1.095,1.063,1.065,9847935.55
2023-02-20,1.061,1.08,1.052,1.08,7860329.03
2023-02-21,1.075,1.078,1.065,1.072,6151611.83
2023-02-22,1.066,1.072,1.06,1.061,6182468.77
2023-02-23,1.063,1.072,1.061,1.068,5110026.24
2023-02-24,1.066,1.068,1.05,1.051,6604345.0
2023-02-27,1.045,1.053,1.04,1.044,6533630.22
2023-02-28,1.047,1.054,1.042,1.053,6426950.23
2023-03-01,1.051,1.06,1.044,1.056,10041539.9
2023-03-02,1.055,1.055,1.042,1.043,7297932.34
2023-03-03,1.047,1.051,1.039,1.047,6818472.02
2023-03-06,1.048,1.052,1.031,1.052,10855438.15
2023-03-07,1.046,1.05,1.031,1.031,10442734.3
2023-03-08,1.028,1.034,1.022,1.029,7635706.91
2023-03-09,1.03,1.033,1.022,1.026,8179243.6
2023-03-10,1.022,1.034,1.017,1.026,10314951.74
2023-03-13,1.025,1.03,1.013,1.017,11417952.73
2023-03-14,1.016,1.017,0.992,1.009,14892469.51
2023-03-15,1.013,1.022,1.004,1.004,12104817.47
2023-03-16,1.0,1.004,0.989,0.991,13864792.79
2023-03-17,0.998,1.0,0.98,0.984,17427940.86
2023-03-20,0.981,0.996,0.975,0.986,12673533.31
2023-03-21,0.989,1.007,0.988,1.007,15761413.72
2023-03-22,1.009,1.017,0.999,1.004,12862385.35
2023-03-23,1.0,1.01,0.998,1.01,8719168.22
2023-03-24,1.01,1.015,1.005,1.011,8366850.43
2023-03-27,1.009,1.022,1.007,1.021,11938041.38
2023-03-28,1.02,1.02,1.006,1.009,8128415.37
2023-03-29,1.01,1.017,1.008,1.01,7851651.98
2023-03-30,1.011,1.018,1.007,1.017,8585467.77
2023-03-31,1.019,1.025,1.016,1.02,7389216.72
2023-04-03,1.02,1.037,1.02,1.035,11707075.27
2023-04-04,1.033,1.035,1.016,1.023,9358668.17
2023-04-06,1.017,1.023,1.013,1.022,6766910.41
2023-04-07,1.021,1.036,1.019,1.032,8442762.46
2023-04-10,1.036,1.039,1.028,1.037,8889076.01
2023-04-11,1.036,1.046,1.028,1.032,6677121.09
2023-04-12,1.033,1.034,1.022,1.026,6014784.8
2023-04-13,1.021,1.025,1.016,1.016,6950192.15
2023-04-14,1.017,1.031,1.017,1.028,7485316.57
2023-04-17,1.025,1.037,1.024,1.034,6163447.17
2023-04-18,1.034,1.041,1.028,1.029,6767031.95
2023-04-19,1.03,1.032,1.021,1.023,5572537.33
2023-04-20,1.022,1.022,1.002,1.005,8720258.23
2023-04-21,1.007,1.012,0.987,0.988,8403515.91
2023-04-24,0.988,0.988,0.96,0.965,12042314.68
2023-04-25,0.967,0.969,0.94,0.944,10973915.59
2023-04-26,0.943,0.975,0.941,0.968,14585121.56
2023-04-27,0.965,0.978,0.962,0.974,5925393.3
