序号,代码,名称,涨跌幅,最新价,成交额,流通市值,总市值,换手率,封板资金,首次封板时间,最后封板时间,炸板次数,涨停统计,连板数,所属行业,封单排名,封板时间段,采集时间,交易日期,涨跌类型,涨停价,涨速,振幅,综合排名
7,002931,锋龙股份,10.010162353515625,21.65,17131753,4357138881.2,4730651782.4,0.39318814873695374,3330819916.0,092500,092500,0,2/2,1.0,通用设备,1,竞价阶段(09:15-09:25),2025-12-25 18:19:38,20251225,涨停,,,,1
8,002969,嘉美包装,10.012360572814941,8.9,18365693,8448949762.200001,8503522372.8,0.21737249195575714,431322827.0,092500,092500,0,10/8,7.0,包装材料,2,竞价阶段(09:15-09:25),2025-12-25 18:19:38,20251225,涨停,,,,2
1,001331,胜通能源,10.002874374389648,38.27,105550076,6424602235.330001,10801324800.0,1.6429044008255005,330264282.0,092500,092500,0,10/10,10.0,物流行业,5,竞价阶段(09:15-09:25),2025-12-25 18:19:38,20251225,涨停,,,,5
10,603601,再升科技,9.97280216217041,12.13,1021107008,12495875455.410002,12495875540.320002,8.179400444030762,267929587.0,092503,093042,1,14/8,2.0,玻璃玻纤,8,竞价阶段(09:15-09:25),2025-12-25 18:19:38,20251225,涨停,,,,8
3,002201,九鼎新材,10.00971794128418,11.32,73800038,6814905114.400001,7376522236.8,1.082921028137207,245273405.0,092500,092500,0,3/3,3.0,玻璃玻纤,9,竞价阶段(09:15-09:25),2025-12-25 18:19:38,20251225,涨停,,,,9
5,002363,隆基机械,10.03201675415039,10.31,45072949,4286466701.77,4298190501.76,1.0515174865722656,182378745.0,092500,092500,0,2/2,2.0,汽车零部,12,竞价阶段(09:15-09:25),2025-12-25 18:19:38,20251225,涨停,,,,12
4,002228,合兴包装,10.084033966064453,6.55,90621667,7921057193.95,7947675889.599999,1.1440602540969849,152928293.0,092500,092500,0,4/4,4.0,包装材料,20,竞价阶段(09:15-09:25),2025-12-25 18:19:38,20251225,涨停,,,,20
2,002009,天奇股份,10.0,17.6,429325904,6232557214.400001,7079304320.000001,6.888439178466797,137014046.0,092500,092500,0,1/1,1.0,专用设备,22,竞价阶段(09:15-09:25),2025-12-25 18:19:38,20251225,涨停,,,,22
6,002763,汇洁股份,10.041841506958008,7.89,82861096,2395397688.0,3234300360.0,3.459179162979126,83128251.0,092500,092500,0,1/1,1.0,纺织服装,40,竞价阶段(09:15-09:25),2025-12-25 18:19:38,20251225,涨停,,,,40
9,600279,重庆港,10.018903732299805,5.82,158954700,6907561767.06,6907561796.160001,2.302088737487793,77495046.0,092501,095422,1,1/1,1.0,航运港口,42,竞价阶段(09:15-09:25),2025-12-25 18:19:38,20251225,涨停,,,,42
1,002909,集泰股份,-4.417178153991699,7.79,959344208,2963291165.48,3038100000.0,30.56825828552246,,092500,,1,3/2,,化学制品,1,竞价阶段(09:15-09:25),2025-12-25 18:19:38,20251225,炸板,8.97,0.0,14.723926544189453,80
