股票代码,股票名称
000006,深振业A
000014,沙河股份
000020,深华发A
000021,深科技
000063,中兴通讯
000158,常山北明
000426,兴业银锡
000558,天府文旅
000559,万向钱潮
000564,供销大集
000572,海马汽车
000592,平潭发展
000626,远大控股
000661,长春高新
000700,模塑科技
000718,苏宁环球
000737,北方铜业
000819,岳阳兴长
000826,启迪环境
000831,中国稀土
000923,河钢资源
000969,安泰科技
000977,浪潮信息
000980,众泰汽车
000981,山子高科
000988,华工科技
001202,炬申股份
001221,悍高集团
001234,泰慕士
001282,三联锻造
001296,长江材料
001309,德明利
001332,锡装股份
002017,东信和平
002021,中捷资源
002029,七匹狼
002031,巨轮智能
002040,南京港
002050,三花智控
002054,德美化工
002059,云南旅游
002065,东华软件
002067,景兴纸业
002074,国轩高科
002082,万邦德
002083,孚日股份
002084,海鸥住工
002097,山河智能
002104,恒宝股份
002115,三维通信
002126,银轮股份
002129,TCL中环
002130,沃尔核材
002131,利欧股份
002140,东华科技
002146,荣盛发展
002150,通润装备
002156,通富微电
002171,楚江新材
002176,江特电机
002181,粤传媒
002183,怡亚通
002185,华天科技
002195,岩山科技
002208,合肥城建
002210,飞马国际
002217,合力泰
002222,福晶科技
002230,科大讯飞
002241,歌尔股份
002245,蔚蓝锂芯
002249,大洋电机
002251,步步高
002256,兆新股份
002261,拓维信息
002269,美邦服饰
002276,万马股份
002295,精艺股份
002298,中电鑫龙
002320,海峡股份
002335,科华数据
002370,亚太药业
002371,北方华创
002384,东山精密
002400,省广集团
002402,和而泰
002407,多氟多
002453,华软科技
002456,欧菲光
002460,赣锋锂业
002467,二六三
002474,榕基软件
002475,立讯精密
002484,江海股份
002491,通鼎互联
002513,蓝丰生化
002516,旷达科技
002530,金财互联
002547,春兴精工
002549,凯美特气
002558,巨人网络
002560,通达股份
002600,领益智造
002617,露笑科技
002631,德尔未来
002641,公元股份
002642,荣联科技
002654,万润科技
002670,国盛金控
002674,兴业科技
002709,天赐材料
002718,友邦吊顶
002759,天际股份
002767,先锋电子
002772,众兴菌业
002785,万里石
002796,世嘉科技
002812,恩捷股份
002825,纳尔股份
002846,英联股份
002885,京泉华
002905,金逸影视
002910,庄园牧场
002925,盈趣科技
002941,新疆交建
002942,新农股份
002952,亚世光电
002968,新大正
002975,博杰股份
003036,泰坦股份
