[000833 粤桂股份] - 龙灭 - 涨幅:155.71% - 价格:[6.48 - 17.73] - 期间:[2024-11-07 - 2024-11-27]
[603955 大千生态] - 龙灭 - 涨幅:181.68% - 价格:[10.59 - 34.0] - 期间:[2024-11-05 - 2024-11-25]
[603366 日出东方] - 龙灭 - 涨幅:301.11% - 价格:[4.49 - 19.6] - 期间:[2024-11-04 - 2024-12-03]
[834475 三友科技] - 龙灭 - 涨幅:172.75% - 价格:[9.98 - 29.0] - 期间:[2024-11-04 - 2024-11-25]
[688656 浩欧博] - 龙灭 - 涨幅:244.23% - 价格:[38.46 - 139.0] - 期间:[2024-10-31 - 2024-11-29]
[834770 艾能聚] - 龙灭 - 涨幅:243.32% - 价格:[8.01 - 32.2] - 期间:[2024-10-21 - 2024-11-04]
[870204 沪江材料] - 龙灭 - 涨幅:239.18% - 价格:[9.7 - 36.5] - 期间:[2024-10-21 - 2024-11-04]
[836961 西磁科技] - 龙灭 - 涨幅:215.15% - 价格:[13.4 - 47.48] - 期间:[2024-10-18 - 2024-11-08]
[603268 松发股份] - 龙灭 - 涨幅:179.73% - 价格:[15.79 - 48.1] - 期间:[2024-10-17 - 2024-11-07]
[002542 中化岩土] - 龙灭 - 涨幅:206.04% - 价格:[1.82 - 5.57] - 期间:[2024-10-16 - 2024-11-11]
[430489 佳先股份] - 龙灭 - 涨幅:158.77% - 价格:[10.6 - 31.59] - 期间:[2024-10-16 - 2024-10-30]
[300489 光智科技] - 龙灭 - 涨幅:273.12% - 价格:[27.34 - 107.99] - 期间:[2024-10-14 - 2024-10-28]
[834415 恒拓开源] - 龙灭 - 涨幅:223.53% - 价格:[7.48 - 26.78] - 期间:[2024-10-14 - 2024-10-28]
[430139 华岭股份] - 龙灭 - 涨幅:200.83% - 价格:[12.1 - 37.46] - 期间:[2024-10-14 - 2024-10-28]
[002272 川润股份] - 龙灭 - 涨幅:143.69% - 价格:[5.47 - 14.2] - 期间:[2024-10-14 - 2024-11-04]
[838971 天马新材] - 龙灭 - 涨幅:262.16% - 价格:[11.6 - 49.2] - 期间:[2024-10-11 - 2024-10-25]
[002094 青岛金王] - 龙灭 - 涨幅:230.60% - 价格:[2.68 - 9.56] - 期间:[2024-10-11 - 2024-11-07]
[603038 华立股份] - 龙灭 - 涨幅:213.88% - 价格:[8.43 - 27.59] - 期间:[2024-10-11 - 2024-11-04]
[830964 润农节水] - 龙灭 - 涨幅:221.84% - 价格:[3.16 - 11.22] - 期间:[2024-09-30 - 2024-11-12]
[872374 云里物里] - 龙灭 - 涨幅:174.28% - 价格:[13.8 - 40.65] - 期间:[2024-09-30 - 2024-11-12]
[838837 华原股份] - 龙灭 - 涨幅:153.71% - 价格:[6.33 - 18.12] - 期间:[2024-09-30 - 2024-11-08]
[301618 长联科技] - 龙灭 - 涨幅:111.19% - 价格:[99.0 - 308.0] - 期间:[2024-09-30 - 2024-10-10]
[830799 艾融软件] - 龙灭 - 涨幅:544.55% - 价格:[11.2 - 83.0] - 期间:[2024-09-27 - 2024-10-25]
[839680 广道数字] - 龙灭 - 涨幅:141.49% - 价格:[10.75 - 26.49] - 期间:[2024-09-27 - 2024-10-28]
[301551 无线传媒] - 龙灭 - 涨幅:166.18% - 价格:[30.16 - 89.91] - 期间:[2024-09-26 - 2024-10-10]
[688615 合合信息] - 龙灭 - 涨幅:90.99% - 价格:[100.0 - 197.5] - 期间:[2024-09-26 - 2024-10-16]
[837592 华信永道] - 龙灭 - 涨幅:240.55% - 价格:[17.68 - 68.2] - 期间:[2024-09-24 - 2024-10-25]
[002583 海能达] - 龙灭 - 涨幅:499.48% - 价格:[3.81 - 26.15] - 期间:[2024-09-19 - 2024-11-04]
